P00452	P07004
P00490	P05055
P00490	P06959
P00490	P0A7K6
P00490	P0A7L0
P00490	P0A7R1
P00490	P0A9P0
P00490	P0AA10
P00490	P0AG48
P00490	P60438
P00490	P60723
P00490	P61175
P00579	P02358
P00579	P02359
P00579	P02413
P00579	P0A7K2
P00579	P0A7K6
P00579	P0A7L0
P00579	P0A7M2
P00579	P0A8M6
P00579	P0AG48
P00579	P0AG67
P00579	P37095
P00579	P60422
P00579	P60723
P00579	P61175
P00582	P00490
P00582	P05719
P00582	P06959
P00582	P0A7K2
P00582	P0A7M2
P00582	P0A817
P00582	P0A9P0
P00582	P0AA10
P00582	P0ADM6
P00582	P11880
P00582	P43329
P00582	P60723
P00861	P0AE88
P00914	P68739
P00946	P18196
P00946	P45748
P00946	P75864
P00954	P0AA10
P00954	P61175
P00956	P02925
P00956	P19930
P00956	P39336
P00960	P08622
P00960	P0A7K6
P00960	P0A7M2
P00960	P0A7S9
P00960	P0A7T3
P00960	P0AA10
P00960	P0ADY7
P00960	P0AG48
P00960	P0AG55
P00960	P23865
P00960	P60723
P00960	P61175
P02942	P07623
P02984	P00646
P03004	P02359
P03004	P02413
P03004	P06961
P03004	P08401
P03004	P08622
P03004	P0A7K2
P03004	P0A7M2
P03004	P0A7R5
P03004	P0A7S9
P03004	P0A7X3
P03004	P0A9P0
P03004	P0ADY3
P03004	P0ADY7
P03004	P0ADZ0
P03004	P0AG59
P03004	P18843
P03004	P21889
P03004	P60422
P03004	P60438
P03004	P60624
P03004	P60723
P03004	P61175
P03004	P76193
P03007	P06710
P03007	P0A7K2
P03007	P0A7K6
P03007	P0A7L0
P03007	P0A7M6
P03007	P0A7N9
P03007	P0A9Y6
P03007	P0AA10
P03007	P0AB98
P03007	P0AFG0
P03007	P10443
P03007	P15028
P03007	P28630
P03007	P28631
P03007	P28632
P03007	P28905
P03018	P00490
P03018	P02358
P03018	P02359
P03018	P04825
P03018	P06959
P03018	P0A7K2
P03018	P0A7M6
P03018	P0A9P0
P03018	P0AA10
P03018	P0AAF3
P03018	P0ACK2
P03018	P0ADZ0
P03018	P0AFG8
P03018	P0AG59
P03018	P10408
P03018	P15723
P03018	P43671
P03018	P60438
P03018	P61175
P04395	P06959
P04825	P77329
P04951	P08622
P04951	P0A7J7
P04951	P0A7K2
P04951	P0AFU2
P04951	P0AG67
P04951	P32681
P04951	P37095
P04951	P60723
P04993	P07648
P04993	P08394
P04993	P0A9P0
P04993	P0AFG8
P05055	P02359
P05055	P02413
P05055	P0A7G6
P05055	P0A7L0
P05055	P0A7R1
P05055	P0A7S9
P05055	P0A7T7
P05055	P0A817
P05055	P0AA10
P05055	P0ADZ4
P05055	P0AG44
P05055	P0AG48
P05055	P0AG55
P05055	P21507
P05055	P21513
P05055	P60422
P05055	P60624
P05055	P60723
P05055	P61175
P05055	P62399
P05100	P0A7M6
P05100	P0A8L1
P05100	P0AFG8
P05719	P00490
P05719	P02359
P05719	P06959
P05719	P08956
P05719	P08957
P05719	P0A9P0
P05719	P0AG48
P05719	P60723
P05824	P76104
P06612	P00490
P06612	P00957
P06612	P02359
P06612	P06959
P06612	P0A7K6
P06612	P0A7M2
P06612	P0A7N9
P06612	P0A7R5
P06612	P0A7S9
P06612	P0A9P0
P06612	P0A9U3
P06612	P0AA10
P06612	P0ACI0
P06612	P14294
P06612	P15043
P06612	P21507
P06612	P21893
P06612	P23830
P06612	P25527
P06612	P27243
P06612	P37647
P06612	P52108
P06612	P60422
P06612	P60438
P06612	P61175
P06709	P0A761
P06709	P0AFA5
P06709	P0AG48
P06709	P0AG59
P06709	P13033
P06709	P61175
P06710	P02358
P06710	P03007
P06710	P0A7K2
P06710	P0A7L0
P06710	P0A7M6
P06710	P0AFG0
P06710	P0AG80
P06710	P15028
P06961	P09373
P06961	P60438
P06993	P08622
P06993	P0A7K6
P06993	P0A817
P06993	P31574
P06993	P52613
P07004	P0A823
P07004	P0AFG8
P07004	P0AFT5
P07004	P0AG80
P07004	P16659
P07004	P16676
P07004	P21645
P07012	P00582
P07012	P0A7K2
P07012	P0A7R5
P07012	P0ABL8
P07012	P20083
P07012	P32704
P07012	P39301
P07012	P61175
P07012	P75959
P07395	P08312
P07395	P0AG90
P07395	P30958
P07395	P32715
P07395	P76237
P07395	Q46841
P07604	P06959
P07813	P0A7J7
P07813	P0A7K2
P07813	P0A7R5
P07813	P0A7T3
P07813	P0ADZ0
P07813	P33129
P07813	P60438
P07813	P60723
P07813	P76245
P08142	P0A7K2
P08142	P0A9P0
P08142	P0AA10
P08142	P0AC33
P08142	P0AFG8
P08312	P07395
P08312	P0AD99
P08312	P39176
P08373	P52600
P08373	P76069
P08390	P0A7K2
P08390	P0ADE8
P08390	P0AFG0
P08390	P21599
P08394	P04993
P08394	P06959
P08394	P07648
P08394	P0A9P0
P08394	P0AFG8
P08622	P02358
P08622	P06993
P08622	P09152
P08622	P0A7G6
P08622	P0A7J3
P08622	P0A7K6
P08622	P0A7L0
P08622	P0A7R5
P08622	P0A7S9
