B4F775	Q9R0W0
B5DFK6	P09951
D3ZEZ9	P85972
O08560	P09951
O08560	P15146
O08560	P31016
O08560	Q62696
O08560	Q62936
O08560	Q63622
O08724	Q63787
O08838	P39052
O35179	O08838
O35179	P21575
O35179	Q62634
O35413	P16086
O35413	P21575
O35413	P39052
O35413	Q5FWU0
O35413	Q62910
O35413	Q9WVJ4
O35430	Q02294
O35430	Q63373
O35431	Q8R4T5
O35826	Q62950
O35867	P67999
O35889	Q07310
O35889	Q63373
O35889	Q63374
O35889	Q63722
O54822	Q56AP7
O54857	P31016
O55043	P35465
O55043	Q9JLU4
O55043	Q9QX74
O55043	Q9WV48
O55043	Q9Z272
O55207-3	Q9WVJ4
O70319	P60881
O70360	Q63787
O70436	P47196
O70437	P47196
O70441	O54960
O70521	Q9Z254
O88339	P08081
O88339	P11442
O88339	P18484
O88339	P62944
O88339	P84092
O88339	Q8R525
O88382	O35116
O88382	P35439
O88382	P62630
O88382	Q00959
O88382	Q00961
O88382	Q02563
O88382	Q62640
O88382	Q62765
O88382	Q62824
O88382	Q8R4T5
O88382	Q9R012
O88382	Q9WU82
O88406	P47196
O88871	P27732
O88871	Q63787
O88871	Q9Z0U4
P02563	Q9Z254
P02767	P37361
P04177	B5DFK6
P04177	P63102
P04797	P47196
P05696	P19492
P05696	P31016
P05696	P35400
P05696	Q62936
P05696	Q63369
P05696	Q9EP80
P07151	P16391
P07174	Q3MKQ2
P07174	Q99M75
P07340	P06685
P07825	Q925Q9
P07825	Q9WUL3
P08485	P11275
P08909	O55164
P08911	B5DFK6
P08911	P53676
P09951	O54960
P10361	Q5I0H3
P10361	Q8VIB2
P10608	P19490
P10608	P31016
P10686	P62994
P10686	Q63537
P10686	Q8CGU4
P10860	P17712
P10860	Q07071
P11275	P08483
P11275	P08485
P11275	P19490
P11275	P70587
P11275	Q9Z1P2
P12841	P17325
P14668	Q9WVE9
P14740	P04937
P14842	P31421
P15127	Q63787
P15385	P31016
P15385	Q62936
P17325	P49185
P17325	P49186
P17712	Q07071
P18088	Q9EP80
P18484	O88339
P18508	Q63787
P19024	Q9Z1P2
P19332	Q9QYW0
P19357	O88638
P19357	O88960
P19357	P04797
P19357	P07872
P19357	P09456
P19357	P09527
P19357	P24268
P19357	P26453
P19357	P27881
P19357	P29457
P19357	P45592
P19357	P56574
P19357	P58405
P19357	P61206
P19357	P62989
P19357	P82995
P19357	P84083
P19357	Q4V8B5
P19357	Q5FVH0
P19357	Q5U2V1
P19357	Q62667
P19357	Q63081
P19357	Q63347
P19357	Q64375
P19357	Q66H50
P19357	Q6P6R2
P19357	Q9EQX9
P19357	Q9ER30
P19357	Q9JHU5
P19357	Q9QXQ0
P19357	Q9R1J8
P19357	Q9Z1P2
P19490	P97879
P19490	Q9JI92
P19491-3	P49185
P19491	P05696
P19491	P97879
P19491	Q91Z80
P19491	Q9EP80
P19491	Q9JHZ4
P19491	Q9JI92
P19491	Q9WTW1
P19491	Q9WUL3
P19492	P97879
P19492	Q9EP80
P19492	Q9JI92
P19492	Q9WTW1
P19493	P49185
P19493	P97879
P19493	Q9EP80
P19493	Q9JI92
P19814	O35867
P19969	Q5WQV5
P20171	Q9JJ10
P20272	Q5I0H3
P20942	O55157
P20942	P62260
P21139	P60192
P21575	O08838
P21575	O35179
P21575	O35413
P21575	P62994
P21575	Q63787
P21575	Q9WVE9
P21575	Q9Z0W5
P21707	P50232
P21708	A1L108-1
